seed,tau,shrink,n_train_id,n_test_id,n_test_ood,id_acc,evidence_ood_auroc,evidence_ood_fpr@tpr80,evidence_ood_fpr@tpr90,evidence_ood_fpr@tpr95,maha_min_auroc,maha_min_fpr@tpr80,maha_min_fpr@tpr90,maha_min_fpr@tpr95,fusion_geo_auroc,fusion_geo_fpr@tpr80,fusion_geo_fpr@tpr90,fusion_geo_fpr@tpr95
0,2.0,0.001,560,64,24,0.859375,0.8177083333333334,0.34375,0.5625,0.75,0.8704427083333333,0.203125,0.328125,0.578125,0.8639322916666667,0.234375,0.390625,0.390625
0,5.0,0.001,560,64,24,0.859375,0.8177083333333334,0.34375,0.5625,0.75,0.8704427083333333,0.203125,0.328125,0.578125,0.8776041666666666,0.265625,0.390625,0.421875
0,10.0,0.001,560,64,24,0.859375,0.8177083333333334,0.34375,0.5625,0.75,0.8704427083333333,0.203125,0.328125,0.578125,0.8958333333333333,0.203125,0.296875,0.375
0,20.0,0.001,560,64,24,0.859375,0.8177083333333334,0.34375,0.5625,0.75,0.8704427083333333,0.203125,0.328125,0.578125,0.9127604166666666,0.1875,0.21875,0.234375
0,2.0,0.01,560,64,24,0.859375,0.8177083333333334,0.34375,0.5625,0.75,0.8430989583333333,0.3125,0.515625,0.515625,0.8515625,0.265625,0.390625,0.390625
0,5.0,0.01,560,64,24,0.859375,0.8177083333333334,0.34375,0.5625,0.75,0.8430989583333333,0.3125,0.515625,0.515625,0.875,0.265625,0.40625,0.40625
0,10.0,0.01,560,64,24,0.859375,0.8177083333333334,0.34375,0.5625,0.75,0.8430989583333333,0.3125,0.515625,0.515625,0.89453125,0.203125,0.296875,0.359375
0,20.0,0.01,560,64,24,0.859375,0.8177083333333334,0.34375,0.5625,0.75,0.8430989583333333,0.3125,0.515625,0.515625,0.9055989583333334,0.15625,0.21875,0.25
0,2.0,0.05,560,64,24,0.859375,0.8177083333333334,0.34375,0.5625,0.75,0.8040364583333333,0.34375,0.46875,0.71875,0.8697916666666666,0.234375,0.40625,0.421875
0,5.0,0.05,560,64,24,0.859375,0.8177083333333334,0.34375,0.5625,0.75,0.8040364583333333,0.34375,0.46875,0.71875,0.88671875,0.21875,0.390625,0.390625
0,10.0,0.05,560,64,24,0.859375,0.8177083333333334,0.34375,0.5625,0.75,0.8040364583333333,0.34375,0.46875,0.71875,0.89453125,0.203125,0.234375,0.3125
0,20.0,0.05,560,64,24,0.859375,0.8177083333333334,0.34375,0.5625,0.75,0.8040364583333333,0.34375,0.46875,0.71875,0.896484375,0.171875,0.21875,0.3125
0,2.0,0.1,560,64,24,0.859375,0.8177083333333334,0.34375,0.5625,0.75,0.7753906250000001,0.421875,0.546875,0.734375,0.8795572916666667,0.21875,0.421875,0.4375
0,5.0,0.1,560,64,24,0.859375,0.8177083333333334,0.34375,0.5625,0.75,0.7753906250000001,0.421875,0.546875,0.734375,0.8938802083333333,0.203125,0.34375,0.359375
0,10.0,0.1,560,64,24,0.859375,0.8177083333333334,0.34375,0.5625,0.75,0.7753906250000001,0.421875,0.546875,0.734375,0.896484375,0.1875,0.21875,0.265625
0,20.0,0.1,560,64,24,0.859375,0.8177083333333334,0.34375,0.5625,0.75,0.7753906250000001,0.421875,0.546875,0.734375,0.8815104166666666,0.1875,0.296875,0.421875
1,2.0,0.001,560,64,24,0.984375,0.8430989583333333,0.328125,0.65625,0.8125,0.8860677083333333,0.25,0.3125,0.546875,0.9837239583333334,0.015625,0.015625,0.15625
1,5.0,0.001,560,64,24,0.984375,0.8430989583333333,0.328125,0.65625,0.8125,0.8860677083333333,0.25,0.3125,0.546875,0.98828125,0.015625,0.015625,0.046875
1,10.0,0.001,560,64,24,0.984375,0.8430989583333333,0.328125,0.65625,0.8125,0.8860677083333333,0.25,0.3125,0.546875,0.990234375,0.015625,0.015625,0.015625
1,20.0,0.001,560,64,24,0.984375,0.8430989583333333,0.328125,0.65625,0.8125,0.8860677083333333,0.25,0.3125,0.546875,0.9921875,0.015625,0.015625,0.015625
1,2.0,0.01,560,64,24,0.984375,0.8430989583333333,0.328125,0.65625,0.8125,0.8580729166666667,0.28125,0.375,0.484375,0.9830729166666666,0.015625,0.015625,0.15625
1,5.0,0.01,560,64,24,0.984375,0.8430989583333333,0.328125,0.65625,0.8125,0.8580729166666667,0.28125,0.375,0.484375,0.9889322916666667,0.015625,0.015625,0.03125
1,10.0,0.01,560,64,24,0.984375,0.8430989583333333,0.328125,0.65625,0.8125,0.8580729166666667,0.28125,0.375,0.484375,0.9915364583333334,0.015625,0.015625,0.015625
1,20.0,0.01,560,64,24,0.984375,0.8430989583333333,0.328125,0.65625,0.8125,0.8580729166666667,0.28125,0.375,0.484375,0.98828125,0.015625,0.046875,0.046875
1,2.0,0.05,560,64,24,0.984375,0.8430989583333333,0.328125,0.65625,0.8125,0.814453125,0.359375,0.4375,0.515625,0.9830729166666666,0.015625,0.03125,0.15625
1,5.0,0.05,560,64,24,0.984375,0.8430989583333333,0.328125,0.65625,0.8125,0.814453125,0.359375,0.4375,0.515625,0.9895833333333334,0.015625,0.015625,0.03125
1,10.0,0.05,560,64,24,0.984375,0.8430989583333333,0.328125,0.65625,0.8125,0.814453125,0.359375,0.4375,0.515625,0.9876302083333334,0.015625,0.03125,0.03125
1,20.0,0.05,560,64,24,0.984375,0.8430989583333333,0.328125,0.65625,0.8125,0.814453125,0.359375,0.4375,0.515625,0.970703125,0.046875,0.109375,0.140625
1,2.0,0.1,560,64,24,0.984375,0.8430989583333333,0.328125,0.65625,0.8125,0.794921875,0.40625,0.546875,0.59375,0.982421875,0.015625,0.015625,0.171875
1,5.0,0.1,560,64,24,0.984375,0.8430989583333333,0.328125,0.65625,0.8125,0.794921875,0.40625,0.546875,0.59375,0.9889322916666667,0.015625,0.015625,0.03125
1,10.0,0.1,560,64,24,0.984375,0.8430989583333333,0.328125,0.65625,0.8125,0.794921875,0.40625,0.546875,0.59375,0.9837239583333333,0.015625,0.046875,0.078125
1,20.0,0.1,560,64,24,0.984375,0.8430989583333333,0.328125,0.65625,0.8125,0.794921875,0.40625,0.546875,0.59375,0.95703125,0.0625,0.171875,0.265625
2,2.0,0.001,560,64,24,0.984375,0.8795572916666666,0.359375,0.421875,0.5,0.849609375,0.25,0.5,0.53125,0.9908854166666667,0.0,0.015625,0.015625
2,5.0,0.001,560,64,24,0.984375,0.8795572916666666,0.359375,0.421875,0.5,0.849609375,0.25,0.5,0.53125,0.9928385416666666,0.0,0.0,0.015625
2,10.0,0.001,560,64,24,0.984375,0.8795572916666666,0.359375,0.421875,0.5,0.849609375,0.25,0.5,0.53125,0.9967447916666666,0.0,0.0,0.0
2,20.0,0.001,560,64,24,0.984375,0.8795572916666666,0.359375,0.421875,0.5,0.849609375,0.25,0.5,0.53125,0.9973958333333334,0.0,0.0,0.0
2,2.0,0.01,560,64,24,0.984375,0.8795572916666666,0.359375,0.421875,0.5,0.7897135416666666,0.46875,0.5,0.625,0.9921875,0.0,0.015625,0.015625
2,5.0,0.01,560,64,24,0.984375,0.8795572916666666,0.359375,0.421875,0.5,0.7897135416666666,0.46875,0.5,0.625,0.9954427083333334,0.0,0.015625,0.015625
2,10.0,0.01,560,64,24,0.984375,0.8795572916666666,0.359375,0.421875,0.5,0.7897135416666666,0.46875,0.5,0.625,0.9967447916666666,0.0,0.015625,0.015625
2,20.0,0.01,560,64,24,0.984375,0.8795572916666666,0.359375,0.421875,0.5,0.7897135416666666,0.46875,0.5,0.625,0.9947916666666666,0.015625,0.015625,0.015625
2,2.0,0.05,560,64,24,0.984375,0.8795572916666666,0.359375,0.421875,0.5,0.7174479166666666,0.5,0.71875,0.78125,0.9973958333333334,0.0,0.015625,0.015625
2,5.0,0.05,560,64,24,0.984375,0.8795572916666666,0.359375,0.421875,0.5,0.7174479166666666,0.5,0.71875,0.78125,0.99609375,0.015625,0.015625,0.015625
2,10.0,0.05,560,64,24,0.984375,0.8795572916666666,0.359375,0.421875,0.5,0.7174479166666666,0.5,0.71875,0.78125,0.9947916666666666,0.015625,0.015625,0.015625
2,20.0,0.05,560,64,24,0.984375,0.8795572916666666,0.359375,0.421875,0.5,0.7174479166666666,0.5,0.71875,0.78125,0.986328125,0.046875,0.046875,0.046875
2,2.0,0.1,560,64,24,0.984375,0.8795572916666666,0.359375,0.421875,0.5,0.69140625,0.546875,0.671875,0.84375,0.998046875,0.0,0.015625,0.015625
2,5.0,0.1,560,64,24,0.984375,0.8795572916666666,0.359375,0.421875,0.5,0.69140625,0.546875,0.671875,0.84375,0.99609375,0.015625,0.015625,0.015625
2,10.0,0.1,560,64,24,0.984375,0.8795572916666666,0.359375,0.421875,0.5,0.69140625,0.546875,0.671875,0.84375,0.9915364583333334,0.015625,0.015625,0.046875
